AI课ID,使用模型类型,知识库资源个数,是否24年开设,平台ID,课程名称,教学班ID,教学班所属院系,主讲教师ID,班级正式学生人数,雨课堂日均开课时长（班级开课总时长/开课天数）,布置作业个数,作业在成绩中占比,布置考试个数,考试在成绩中占比,起始时间,结束时间,持续多少周,调整原因
4hmvbRqRlae,智谱GLM-4-Plus,370,否,7n0RIxtpvm,大学外语（四）[上机学时],PWNTVYeOIKJcl,外国语学院,PWNTVYeKj2U6g,27,0:00:00,0,0.2,1,0.4,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
4hmvbRqRlae,智谱GLM-4-Plus,370,否,7n0RIxtpvm,大学外语（二）[上机学时],PWNTVYeOIKSZ2,外国语学院,PWNTVYeKj2UnG,29,0:00:00,25,0.0,42,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
7n0RIxtdHR,智谱GLM-4-Plus,374,否,7n0RIxtpvm,电路原理（二）,PWNTVYeOIKTkw,电气工程学院,PWNTVYeKjgOuT,39,3:31:56,39,0.3,0,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4nc9H,DeepSeek-R1,399,否,7n0RIxtsze,感染性疾病与免疫Ⅰ,PWNTVYeOJEJai,基础医学院,PWNTVYmU4Mok9,50,2:02:47,0,0.0,1,0.0,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4nc97,智谱GLM-4-Plus,1233,否,7n0RIxtsze,组织学与胚胎学,PWNTVYeOZHLGq,基础医学院,PWNTVYmU4Maac,50,5:23:44,0,0.1,3,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4nc97,智谱GLM-4-Plus,1233,否,7n0RIxtsze,组织学与胚胎学,PWNTVYeOZHLGr,基础医学院,PWNTVYmU4Maac,48,5:01:51,0,0.1,3,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4nc97,智谱GLM-4-Plus,1233,否,7n0RIxtsze,组织学与胚胎学,PWNTVYeOZHLGs,基础医学院,PWNTVYmU4Maac,48,4:31:27,0,0.1,3,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4nc97,智谱GLM-4-Plus,1233,否,7n0RIxtsze,组织学与胚胎学,PWNTVYeOZHLGU,基础医学院,PWNTVYmU4Maac,55,2:38:10,0,0.1,3,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4nc97,智谱GLM-4-Plus,1233,否,7n0RIxtsze,组织学与胚胎学,PWNTVYeOZHLGW,基础医学院,PWNTVYmU4Maac,33,2:42:18,0,0.1,3,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
cH4W4nc97,智谱GLM-4-Plus,1233,否,7n0RIxtsze,组织学与胚胎学,PWNTVYeOZHLGZ,基础医学院,PWNTVYmU4Maac,46,9:41:20,0,0.1,3,0.3,2025-02-24 00:00:00,2025-07-13 00:00:00,20,使用学校统一时间
